"last_name, first_name",player_id,year,pa,strikeout,k_percent,bb_percent,whiff_percent,swing_percent,xwoba,xba,xslg,hard_hit_percent,barrel_batted_rate,avg_swing_speed,fast_swing_rate,swords,squared_up_contact,woba
"King, Michael",650633,2026,610,128,21.0,9.5,24.8,46.4,0.321,0.239,0.402,32.4,8.5,72.6,31.1,15.0,29.7,0.294
"Bradley, Taj",671737,2026,599,158,26.4,10.4,26.0,47.1,0.307,0.226,0.377,44.9,9.3,72.2,28.8,29.0,31.7,0.303
"Lauer, Eric",641778,2026,438,69,15.8,7.3,19.0,52.0,0.332,0.25,0.459,35.2,10.8,72.8,31.6,9.0,28.3,0.333
"Ryan, Joe",657746,2026,523,138,26.4,5.2,25.5,50.2,0.29,0.224,0.39,42.2,10.5,72.4,29.0,17.0,30.9,0.299
"Matsui, Yuki",673513,2026,198,50,25.3,14.1,35.2,47.3,0.284,0.174,0.325,29.7,8.5,71.9,24.1,11.0,25.3,0.276
"Stratton, Hunter",676702,2026,15,3,20.0,0.0,16.7,53.6,0.383,0.403,0.476,25.0,0.0,71.1,27.6,0.0,32.0,0.381
"Bigge, Hunter",685801,2026,85,14,16.5,16.5,25.9,43.6,0.311,0.23,0.341,36.8,5.3,72.6,27.4,2.0,38.5,0.297
"Leiter Jr., Mark",643410,2026,144,38,26.4,7.6,30.3,46.1,0.316,0.269,0.365,31.9,3.3,72.5,28.4,2.0,29.9,0.304
"Ragans, Cole",666142,2026,151,45,29.8,15.2,31.7,45.4,0.344,0.218,0.452,39.8,15.7,72.3,28.3,4.0,29.9,0.354
"Raley, Brooks",548384,2026,195,48,24.6,8.2,23.8,47.1,0.286,0.218,0.344,30.5,5.5,72.1,23.2,5.0,30.0,0.275
"Brieske, Beau",689225,2026,39,8,20.5,10.3,21.3,53.7,0.33,0.241,0.435,48.1,11.1,72.2,28.4,0.0,25.4,0.366
"Davis, Tyler",699823,2026,106,22,20.8,14.2,23.4,50.0,0.288,0.219,0.324,43.5,4.3,71.0,20.1,3.0,32.1,0.262
"Enns, Dietrich",608650,2026,70,13,18.6,15.7,23.1,46.0,0.301,0.211,0.335,39.1,6.5,71.5,23.5,1.0,32.2,0.306
"Whisenhunt, Carson",687931,2026,153,23,15.0,13.1,28.0,46.3,0.378,0.279,0.485,47.7,8.3,72.9,31.9,4.0,42.7,0.382
"Manoah, Alek",666201,2026,39,5,12.8,20.5,19.7,37.9,0.379,0.228,0.473,34.6,11.5,72.4,32.0,1.0,25.0,0.402
"Mederos, Victor",682989,2026,92,20,21.7,7.6,32.0,50.4,0.291,0.233,0.341,42.9,4.8,72.9,33.5,3.0,32.4,0.28
"Woods Richardson, Simeon",680573,2026,285,35,12.3,11.9,18.4,42.3,0.365,0.28,0.461,43.0,7.9,73.0,38.5,5.0,39.2,0.378
"Hancock, Emerson",676106,2026,516,119,23.1,6.2,23.7,51.5,0.308,0.244,0.41,41.1,8.4,72.2,27.7,9.0,29.2,0.288
"Kingham, Nolan",663884,2026,6,1,16.7,33.3,25.0,36.4,0.333,0.152,0.175,0.0,0.0,70.6,0.0,0.0,25.0,0.381
"Dodd, Dylan",689266,2026,154,42,27.3,7.8,28.1,53.0,0.267,0.197,0.335,35.7,7.1,72.4,29.7,3.0,23.5,0.242
"Martin, Davis",663436,2026,530,111,20.9,7.4,24.0,48.6,0.333,0.271,0.422,44.4,6.8,72.4,30.5,15.0,32.8,0.324
"Gore, MacKenzie",669022,2026,597,154,25.8,8.5,26.3,49.6,0.304,0.236,0.378,42.0,8.8,72.6,31.4,21.0,27.8,0.311
"Samaniego, Tyler",701719,2026,90,17,18.9,8.9,21.6,44.3,0.331,0.268,0.398,36.5,3.2,71.6,25.9,2.0,44.9,0.324
"Raya, Marco",694397,2026,25,4,16.0,12.0,26.2,42.0,0.341,0.274,0.407,27.8,5.6,73.3,27.8,0.0,42.3,0.308
"Alvarado, José",621237,2026,211,56,26.5,10.4,29.4,46.4,0.303,0.224,0.337,28.0,4.8,71.8,23.9,10.0,26.2,0.351
"Alvarado, Elvis",665660,2026,164,48,29.3,11.6,32.0,51.3,0.336,0.208,0.447,49.5,16.8,72.3,28.1,2.0,29.1,0.329
"Seabold, Connor",657756,2026,113,20,17.7,8.0,20.0,47.3,0.308,0.253,0.364,37.0,6.3,71.1,17.9,1.0,30.5,0.351
"Blackburn, Paul",621112,2026,274,57,20.8,9.9,22.9,46.3,0.291,0.23,0.345,33.3,5.8,72.0,26.5,9.0,29.4,0.255
"Stock, Robert",476594,2026,81,19,23.5,13.6,26.8,48.3,0.331,0.227,0.366,27.1,10.4,72.3,23.3,6.0,26.2,0.35
"Mikolas, Miles",571945,2026,498,58,11.6,4.6,14.5,48.4,0.354,0.288,0.506,43.6,9.2,72.5,29.2,13.0,38.3,0.364
"Gusto, Ryan",687473,2026,237,49,20.7,5.9,21.2,49.4,0.317,0.263,0.417,44.2,8.7,72.4,27.3,12.0,37.4,0.327
"Dobbins, Hunter",690928,2026,212,49,23.1,9.9,22.9,45.1,0.3,0.23,0.357,38.6,6.4,72.3,25.1,3.0,32.6,0.313
"Sewald, Paul",623149,2026,170,46,27.1,5.3,28.2,51.8,0.32,0.222,0.488,40.7,15.0,71.9,25.0,2.0,35.6,0.332
"Harris, Hogan",663687,2026,253,72,28.5,13.8,25.9,42.9,0.301,0.211,0.323,32.1,5.7,71.1,20.8,4.0,27.3,0.325
"Ashcraft, Braxton",677952,2026,602,159,26.4,5.5,25.8,52.2,0.285,0.227,0.367,41.4,6.7,72.4,28.5,18.0,31.9,0.292
"Messick, Parker",800048,2026,591,152,25.7,6.8,26.1,48.5,0.267,0.218,0.327,32.5,5.0,72.0,27.9,15.0,29.5,0.267
"Medina, Luis",665622,2026,248,67,27.0,12.1,30.1,43.3,0.322,0.233,0.391,38.5,8.3,71.6,22.6,11.0,31.3,0.33
"Ohtani, Shohei",660271,2026,340,95,27.9,7.6,30.4,47.5,0.257,0.201,0.288,33.8,3.8,71.2,21.5,10.0,27.8,0.239
"Joyce, Ben",690829,2026,19,8,42.1,5.3,36.8,46.3,0.122,0.092,0.12,20.0,0.0,73.2,33.3,1.0,19.0,0.084
"Mattson, Isaac",676755,2026,166,34,20.5,10.8,21.7,49.5,0.373,0.288,0.495,50.4,12.4,71.1,22.3,2.0,36.1,0.344
"Leibrandt, Brandon",605335,2026,30,3,10.0,10.0,23.4,47.5,0.437,0.323,0.694,29.2,18.2,72.5,27.0,0.0,40.7,0.46
"Murphy, Chris",669684,2026,132,29,22.0,11.4,30.7,51.2,0.294,0.211,0.321,34.5,7.1,71.2,18.9,2.0,28.6,0.316
"Hudson, Bryan",663542,2026,224,51,22.8,7.6,23.5,47.0,0.278,0.229,0.324,35.8,4.0,71.1,19.9,9.0,32.8,0.302
"Cuas, Jose",621016,2026,47,13,27.7,8.5,25.9,49.3,0.321,0.295,0.387,36.7,3.3,71.1,22.7,3.0,21.2,0.31
"Stallings, Garrett",668831,2026,30,9,30.0,10.0,33.9,48.4,0.182,0.136,0.148,16.7,0.0,72.0,25.5,2.0,35.3,0.159
"Bennett, Jake",687562,2026,323,61,18.9,5.3,24.0,52.6,0.278,0.229,0.363,36.4,6.2,72.2,29.1,13.0,33.7,0.267
"Koenig, Jared",657649,2026,41,7,17.1,17.1,20.6,42.2,0.337,0.246,0.416,46.2,7.7,72.5,29.0,1.0,38.0,0.443
"Cruz, Steven",674444,2026,196,51,26.0,9.2,28.5,52.3,0.311,0.233,0.401,34.4,11.2,71.9,24.1,7.0,28.9,0.327
"Carrillo, Gerardo",672629,2026,55,15,27.3,14.5,26.1,42.5,0.222,0.147,0.201,19.4,3.2,71.5,22.1,1.0,23.3,0.224
"Sanmartin, Reiver",665665,2026,46,10,21.7,6.5,23.0,44.6,0.354,0.292,0.5,48.5,15.2,71.1,16.2,1.0,41.5,0.445
"Montgomery, Jordan",656756,2026,38,6,15.8,2.6,20.5,45.1,0.368,0.319,0.521,35.5,9.7,72.6,29.0,1.0,33.3,0.393
"Bradford, Cody",674003,2026,65,10,15.4,6.2,21.6,49.1,0.369,0.298,0.511,42.0,10.2,72.2,33.7,2.0,44.9,0.341
"Ekness, Josh",694795,2026,53,9,17.0,13.2,20.7,39.5,0.329,0.259,0.378,35.1,8.1,70.4,11.4,2.0,30.4,0.27
"Dallas, Chad",689149,2026,39,6,15.4,15.4,21.3,48.1,0.32,0.24,0.335,37.0,3.7,71.9,27.4,3.0,34.0,0.375
"Singer, Brady",663903,2026,557,104,18.7,7.5,25.1,44.4,0.343,0.271,0.447,40.5,9.2,72.3,30.6,12.0,38.6,0.353
"Coulombe, Danny",543056,2026,96,10,10.4,15.6,17.1,44.0,0.321,0.251,0.311,21.4,1.4,71.1,22.1,2.0,27.9,0.299
"Lee, Dylan",669276,2026,213,70,32.9,6.6,37.1,52.9,0.236,0.18,0.294,31.0,6.2,72.6,28.4,10.0,26.1,0.203
"Hurt, Kyle",669165,2026,176,51,29.0,12.5,35.6,52.1,0.292,0.209,0.338,42.2,6.9,72.4,28.1,1.0,30.7,0.302
"Morillo, Juan",666661,2026,203,59,29.1,8.9,30.8,48.9,0.238,0.181,0.254,31.5,3.3,71.6,25.7,9.0,28.6,0.249
"Pfaadt, Brandon",694297,2026,403,69,17.1,6.0,21.6,49.4,0.293,0.236,0.375,35.0,7.2,72.4,27.1,15.0,33.4,0.291
"Shook, TJ",669298,2026,36,7,19.4,5.6,21.9,47.8,0.319,0.253,0.451,40.7,7.4,70.3,12.3,0.0,47.8,0.483
"Ramírez, Yohan",670990,2026,296,79,26.7,13.9,27.2,44.4,0.289,0.21,0.293,30.1,4.8,71.6,24.0,17.0,24.0,0.287
"Pallante, Andre",669467,2026,564,97,17.2,7.3,21.4,44.9,0.305,0.25,0.374,34.5,5.3,72.1,26.7,24.0,34.2,0.298
"Anderson, Grant",681982,2026,201,45,22.4,10.0,25.7,49.3,0.274,0.205,0.333,37.8,7.4,71.6,21.7,10.0,35.7,0.298
"Newcomb, Sean",656794,2026,283,64,22.6,9.5,24.4,44.4,0.304,0.246,0.348,37.1,5.4,71.2,18.2,9.0,35.0,0.265
"Kuhnel, Joel",669270,2026,157,22,14.0,7.6,22.6,47.2,0.355,0.297,0.441,39.5,6.0,72.3,26.2,6.0,36.2,0.357
"Rea, Colin",607067,2026,535,91,17.0,8.0,19.5,46.8,0.359,0.276,0.487,41.4,10.7,72.1,27.5,13.0,36.7,0.335
"Hicks, Jordan",663855,2026,168,45,26.8,14.9,25.2,44.1,0.268,0.207,0.261,33.0,1.0,70.7,19.4,4.0,28.3,0.294
"Tolle, Payton",801139,2026,483,134,27.7,6.8,27.1,55.3,0.255,0.2,0.315,33.5,6.5,71.7,23.8,15.0,26.3,0.282
"Ramos, Wilkin",678576,2026,15,1,6.7,26.7,26.1,37.7,0.459,0.388,0.47,50.0,0.0,70.9,15.8,2.0,40.0,0.507
"Klassen, George",691946,2026,101,21,20.8,17.8,33.3,46.4,0.35,0.246,0.381,41.0,9.8,74.3,43.7,8.0,30.2,0.319
"Skenes, Paul",694973,2026,573,171,29.8,7.2,28.5,51.0,0.277,0.212,0.341,39.0,7.4,71.1,19.5,16.0,27.5,0.295
"Tiedemann, Ricky",694357,2026,7,2,28.6,0.0,25.0,44.4,0.332,0.321,0.458,40.0,0.0,72.1,11.1,1.0,37.5,0.254
"Perkins, Jack",678022,2026,387,98,25.3,8.5,27.0,48.1,0.316,0.238,0.395,37.6,8.9,71.7,26.5,18.0,32.6,0.359
"Painter, Andrew",691725,2026,383,71,18.5,8.9,22.9,48.1,0.344,0.267,0.445,35.5,8.4,71.9,26.0,8.0,31.9,0.369
"Bratt, Mitch",683352,2026,159,25,15.7,13.8,15.6,47.8,0.311,0.218,0.365,35.1,8.1,72.6,29.2,2.0,25.9,0.342
"Peguero, Joel",666711,2026,48,5,10.4,8.3,18.1,55.6,0.256,0.192,0.248,24.3,0.0,70.9,10.0,1.0,28.4,0.297
"Irvin, Cole",608344,2026,30,5,16.7,10.0,18.2,53.9,0.39,0.287,0.512,52.4,9.5,72.8,34.0,0.0,35.7,0.395
"Simpson, Josh",681006,2026,38,10,26.3,10.5,20.3,41.8,0.369,0.227,0.532,43.5,17.4,71.9,22.8,2.0,36.7,0.482
"Chivilli, Angel",683409,2026,73,16,21.9,9.6,32.6,50.5,0.309,0.22,0.395,38.8,6.3,72.1,29.8,3.0,32.9,0.321
"Rocker, Kumar",677958,2026,528,109,20.6,9.1,25.8,47.9,0.333,0.259,0.43,40.6,7.9,72.2,30.0,29.0,33.4,0.331
"Cano, Yennier",666974,2026,172,38,22.1,5.2,26.7,45.2,0.276,0.226,0.337,38.2,5.9,72.2,26.2,3.0,39.1,0.251
"Hentges, Sam",656529,2026,136,32,23.5,16.2,27.8,42.3,0.3,0.204,0.287,30.4,3.8,72.0,28.4,10.0,32.9,0.307
